Sentence #,sylhet_word,bio_tag
Sentence: 54,মুই,O
,আইজ,O
,বিয়ানে,O
,ফুটবল,B-OBJ
,খেলাইছি,O
Sentence: 55,মুই,O
,তুমার,O
,মনর,O
,খতা,O
,বুজি,O
,না,O
Sentence: 56,তুমার,O
,লাগি,O
,আমার,O
,খুব,O
,খষ্ট,O
,অয়,O
Sentence: 57,আমরার,O
,সফনো,O
,বহুত,O
,বড়,O
Sentence: 58,অল্প,O
,বয়সর,O
,এখটা,O
,ফুয়া,O
,বারে,O
,ফুটপাতো,B-LOC
,দৌড়ার,O
Sentence: 59,এখটা,O
,ছুটো,O
,মনা,O
,বিছনাত,B-OBJ
,লাফাইয়া,O
,উটের,O
Sentence: 60,এখটা,O
,ফুয়া,O
,বিছনাত,B-OBJ
,ফালার,O
Sentence: 61,এখটা,O
,ফুুয়া,O
,এক,O
,বিছনা,B-OBJ
,থাকি,O
,আরোখ,O
,বিছনাত,B-OBJ
,ফাল,O
,দের,O
Sentence: 62,এখটা,O
,হুরু,O
,মনা,O
,ফুটপাতো,B-LOC
,আটের,O
Sentence: 63,মুই,O
,এখটা,O
,ফুয়া,O
Sentence: 64,মুই,O
,এখটা,O
,ফুড়ি,O
Sentence: 65,আমার,O
,জামাই,B-REL
,আমারে,O
,খুব,O
,ভালা,O
,পায়,O
Sentence: 66,ইস্কুল,B-ORG
,জীবন,O
,থাকি,O
,তারার,O
,পিরিত,O
,আছিল,O
Sentence: 67,আমার,O
,বিয়ার,O
,দশ,O
,বছর,O
,অর,O
Sentence: 68,বহুত,O
,ভালা,O
,ছবি,O
Sentence: 69,বাক্কাদিন,O
,বাদে,O
,এখটা,O
,ভালা,O
,ছবি,O
,দেখলাম,O
Sentence: 70,বহুুত,O
,ভালা,O
,লেখছইন,O
Sentence: 71,বাক্কাদিন,O
,বাদে,O
,এখটা,O
,ভালা,O
,লেখা,O
,পড়লাম,O
Sentence: 72,যে,O
,মাথাত,O
,বেদনা,O
,ধরছিল,O
Sentence: 73,কুনতা,O
,বুঝতাম,O
,ফারলাম,O
,না,O
Sentence: 74,তাইন,O
,অখটা,O
,দেখিয়া,O
,গিয়ান,O
,আরাই,O
,লাইছইন,O
Sentence: 75,এক,O
,খতায়,O
,আফনারে,O
,বাক্কা,O
,সুন্দর,O
,লাগের,O
Sentence: 76,আফনার,O
,ছবি,B-OBJ
,থাকি,O
,আফনে,O
,বাস্তবে,O
,অনেখ,O
,বেশি,O
,সুন্দর,O
Sentence: 77,আফনার,O
,হাসির,O
,কাছে,O
,সব,O
,কিছু,O
,হার,O
,মানি,O
,যায়,O
Sentence: 78,আফনার,O
,চউক,O
,অনেখ,O
,সুন্দর,O
Sentence: 79,আফনার,O
,লগেে,O
,পরিচিত,O
,অইয়া,O
,ভালা,O
,লাগলো,O
Sentence: 80,বাক্কা,O
,সময়,O
,পর,O
,আফনারে,O
,দেখলাম,O
Sentence: 81,দুই,O
,ভাইর,B-REL
,মাঝে,O
,জাগা,O
,জমিন,O
,লইয়া,O
,মাইর,O
,অয়,O
Sentence: 82,বাদে,O
,এক,O
,ভাই,B-REL
,কুয়েত,B-LOC
,গেছেগি,O
,আর,O
,আরোখ,O
,ভাই,B-REL
,সুদান,B-LOC
,গেছে,O
,গি,O
Sentence: 83,কয়দিন,O
,পর,O
,সুদান,B-LOC
,থাকি,O
,আওয়া,O
,বেটায়,O
,বিয়া,O
,করইন,O
Sentence: 84,মোবাইল,B-OBJ
,ছাড়া,O
,বাথরুমে,O
,গেলেগি,O
,মনে,O
,অয়,O
,দরখারি,O
,ফাইল,B-OBJ
,ছাড়া,O
,অফিসো,B-ORG
,বই,O
,রইছি,O
Sentence: 85,যারার,O
,গালি,O
,দেওয়া,O
,অই,O
,গেছে,O
,তারা,O
,দয়া,O
,করি,O
,লাইন,O
,থাকি,O
,হরি,O
,যাইন,O
Sentence: 86,পিছেদি,O
,এখনো,O
,বাক্কা,O
,মানুষ,O
,লাইনো,O
,উবানিত,O
Sentence: 87,তারারে,O
,গালি,O
,দেওয়ার,O
,সুযোগ,O
,খরি,O
,দেইন,O
Sentence: 88,বেশি,O
,কুনতা,O
,খইতাম,O
,নায়,O
,কারণ,O
,আবেগে,O
,চকুত,O
,পানি,O
,আইচ্চে,O
Sentence: 89,তুমি,O
,কইরায়,O
,যে,O
,থাকার,O
,হে,O
,এমনেউ,O
,থাকি,O
,যাইবো,O
Sentence: 90,পয়লা,O
,আফনারে,O
,এখটা,O
,দুকানো,O
,যাওয়া,O
,লাগবো,O
Sentence: 91,নিজর,O
,পছন্দর,O
,বিয়াত,O
,বাফ,B-REL
,মারে,B-REL
,রাজি,O
,করানি,O
,অইলো,O
Sentence: 92,ফুড়িটায়,O
,লাল,B-COL
,শাড়ি,B-OBJ
,পিন্দিয়া,O
,উবানিত,O
Sentence: 93,বউর,B-REL
,লাগি,O
,বন্ধুরার,B-REL
,সামনে,O
,মুখ,O
,দেখানির,O
,আর,O
,উপায়,O
,নাই,O
Sentence: 94,আমারে,O
,সবর,O
,সামনে,O
,মারতে,O
,মারতে,O
,বাসাত,O
,লইয়া,O
,আয়।,O
Sentence: 95,মুই,O
,জানি,O
,ইকানো,O
,অনেক,O
,ফুড়িন,O
,কমেন্ট,O
,ফরার,O
,লাগি,O
,আইবা,O
Sentence: 96,মাঝে,O
,মাঝে,O
,মনে,O
,অয়,O
,ঘরবাড়ি,O
,সব,O
,মশার,B-ANI
,নামে,O
,লেকিয়া,O
,দিয়া,O
,মুই,O
,জঙ্গলো,B-LOC
,যাই,O
,গিয়া,O
Sentence: 97,মুই,O
,তুমার,O
,অইয়া,O
,আছি,O
,তুমার,O
,অইয়া,O
,থাকমু,O
Sentence: 98,সারাজীবন,O
,তুমারে,O
,মুই,O
,ভালোবাসিয়া,O
,যাইমু,O
Sentence: 99,লগে,O
,থাকিও,O
,সাড়া,O
,জীবন,O
,দূরই,O
,যাইয়ো,O
,না,O
Sentence: 100,তুমারে,O
,ছাড়া,O
,আমার,O
,একটুও,O
,ভালা,O
,লাগে,O
,না,O
Sentence: 101,খেউরে,O
,আবেগর,O
,ভালোবাসা,O
,দিও,O
,না,O
,মনর,O
,ভালোবাসা,O
,দিও,O
Sentence: 102,কারন,O
,আবেগর,O
,ভালোবাসা,O
,একদিন,O
,বিবেকর,O
,কাছে,O
,হারি,O
,যাইবো,O
Sentence: 103,কিলা,O
,বুঝাইতাম,O
,তারে,O
,মুই,O
,কতখান,O
,ভালাপাই,O
Sentence: 104,বাক্কাদিন,O
,বাদে,O
,তুমারে,O
,দেখলাম,O
Sentence: 105,তুমারে,O
,দেকিয়া,O
,ভেমটালা,O
,লাগিয়া,O
,উবাই,O
,রইছলাম,O
Sentence: 106,মুই,O
,অনেক,O
,কষ্টে,O
,নিজোরে,O
,সামলাইয়া,O
,নিছলাম,O
Sentence: 107,যেবলা,O
,তুমি,O
,আমারে,O
,দেকিয়াও,O
,না,O
,দেখার,O
,ভান,O
,করলায়,O
,হেবলা,O
,আমার,O
,বেশ,O
,লাগছে,O
Sentence: 108,তুমারে,O
,হউ,O
,অনুভুতির,O
,মাত,O
,কওয়া,O
,বুঝাত,O
,ফারতাম,O
,নায়,O
Sentence: 109,তুমারে,O
,খুব,O
,মনো,O
,পড়ের,O
,তুমারে,O
,লাল,B-COL
,গোলাপ,B-OBJ
,দিতাম,O
Sentence: 110,আমার,O
,জীবনো,O
,তুমি,O
,ছাড়া,O
,খেউ,O
,নাই,O
Sentence: 111,আমার,O
,জীবনো,O
,তুমি,O
,ছাড়া,O
,কোনো,O
,স্বপ্ন,O
,নাই,O
Sentence: 112,আমাার,O
,দুই,O
,চউক,O
,তুমারে,O
,ছাড়া,O
,আর,O
,কিচ্ছু,O
,খুঁজে,O
,না,O
Sentence: 113,যেব্‌লাকু,O
,ফুড়ি,O
,বুঝে,O
,হেব্‌লাকু,O
,ফুয়ায়,O
,বুঝে,O
,না,O
Sentence: 114,তুমি,O
,খালি,O
,মোরে,O
,মনো,O
,রাকিও,O
,সারা,O
,বেলা,O
Sentence: 115,চকুর,O
,কান্দা,O
,মুছাইয়া,O
,দিমু,O
,তুমারে,O
,হাসি,O
Sentence: 116,এরলাগি,O
,তো,O
,বন্দু,B-REL
,তোমারে,O
,মুই,O
,অতো,O
,ভালাপাই,O
Sentence: 117,খত,O
,সুন্দর,O
,তুমি,O
,পেরেমো,O
,পরছি,O
,মুই,O
Sentence: 118,ফুয়াইন্তে,O
,পিরিতর,O
,অভিনয়,O
,খরতে,O
,খরতে,O
,কুন,O
,সময়,O
,হাছা,O
,হাছা,O
,ভালা,O
,পাইলায়,O
,ইতা,O
,তারা,O
,নিজেও,O
,জানে,O
,না,O
Sentence: 119,ফুড়িন্তে,O
,হাছা,O
,হাছির,O
,ভালা,O
,পাইতে,O
,পাইতে,O
,কুন,O
,সময়,O
,যে,O
,অভিনয়,O
,শুরু,O
,লাগায়,O
,ইতা,O
,তারা,O
,নিজেও,O
,জানইন,O
,না,O
Sentence: 120,অউ,O
,দুনিয়াত,B-LOC
,ভালা,O
,লাগার,O
,মানুষরারে,O
,ছাড়া,O
,বাছিয়া,O
,থাকা,O
,কষ্টর,O
,কিন্তুক,O
,অসম্ভব,O
,কিচ্ছু,O
,নায়,O
Sentence: 121,খেউরু,O
,লাগি,O
,খেউরুর,O
,জীবন,O
,থামিয়া,O
,থাকে,O
,না,O
Sentence: 122,খেউররে,O
,খুব,O
,বেশি,O
,ভালাপাওয়ার,O
,মাঝে,O
,এখ,O
,ধরনর,O
,দুর্বলতা,O
,আছে,O
Sentence: 123,ফুয়া,O
,আর,O
,ফুড়ি,O
,বন্দু,B-REL
,অইতে,O
,পারইন,O
,কিন্তু,O
,তারা,O
,ঠিকউ,O
,এখজন,O
,আরোখ,O
,জনর,O
,পেরেমো,O
,ফরবা,O
Sentence: 124,ফুয়াইন্তর,O
,লাগি,O
,দুনিয়াত,B-LOC
,সব,O
,চাইতে,O
,দামী,O
,অইলো,O
,ফুড়িন্তর,O
,হাসি,O
Sentence: 125,তুমারে,O
,দুই,O
,চউক,O
,ভরিয়া,O
,দেখা,O
,এখনো,O
,বাকি,O
Sentence: 126,তুমারে,O
,কান্দাত,O
,আইয়া,O
,জড়াইয়া,O
,ধরা,O
,বাকি,O
Sentence: 127,মোর,O
,যে,O
,ঠান্ডা,O
,লাগের,O
Sentence: 128,মোর,O
,মন,O
,খারাফ,O
Sentence: 129,আফনার,O
,কিতা,O
,মন,O
,খারাফ,O
,নি,O
Sentence: 130,তুমার,O
,কিতা,O
,মন,O
,খারাফ,O
,নি,O
Sentence: 131,আব্বায়,B-REL
,মোর,O
,লাগি,O
,লাল,B-COL
,জামা,B-OBJ
,কিনিয়া,O
,আনছইন,O
Sentence: 132,মোর,O
,বন্দু,B-REL
,মোর,O
,লাগি,O
,লাল,B-COL
,শাড়ি,B-OBJ
,কিনিয়া,O
,দিছে,O
Sentence: 133,মোর,O
,বন্দু,B-REL
,মোর,O
,লাগি,O
,এখটা,O
,লাল,B-COL
,গোলাপ,B-OBJ
,কিনিয়া,O
,দিছে,O
Sentence: 134,মোর,O
,আম্মায়,B-REL
,মোরে,O
,লইয়া,O
,পার্কো,B-LOC
,গুরাত,O
,যাইবা,O
Sentence: 135,যে,O
,পিরিত,O
,যত,O
,গুফন,O
,হউ,O
,পিরিত,O
,তত,O
,গভীর,O
Sentence: 136,ভালোবাসা,O
,ফাওয়ার,O
,চাইতে,O
,ভালোবাসা,O
,দেওয়াত,O
,অউ,O
,বেশি,O
,আনন্দ,O
Sentence: 137,তুমি,O
,যদি,O
,খেউরে,O
,ভালোবাসো,O
,তাইলে,O
,তারে,O
,ছাড়ি,O
,দেও,O
Sentence: 138,যদি,O
,হে,O
,তুমার,O
,কাছে,O
,ফিরিয়া,O
,আয়,O
,তে,O
,হে,O
,তুমার,O
,অউ,O
,আছিল,O
Sentence: 139,আর,O
,যদি,O
,ফিরিয়া,O
,না,O
,আয়,O
,তে,O
,হে,O
,কুনোদিন,O
,অউ,O
,তুমার,O
,আছিল,O
,না,O
Sentence: 140,যেসময়,O
,কুনো,O
,বেটা,O
,কুনো,O
,বেটিরে,O
,ভালাপায়,O
,হেসময়,O
,তাইর,O
,লাগি,O
,হখলতা,O
,খরতো,O
,পারে,O
Sentence: 141,মুকুত,O
,হখল,O
,সময়,O
,ভালাপাই,O
,ভালাপাই,O
,কওয়ার,O
,থাকি,O
,মোর,O
,মনো,O
,অয়,O
,ভালাপাওয়া,O
,মানুষটারে,O
,বুঝাটা,O
,অনেখ,O
,বড়,O
,ব্যাপার,O
Sentence: 142,ভালা,O
,পাওয়া,O
,মানে,O
,এখজন,O
,আরোখ,O
,জনরে,O
,বুঝতে,O
,পারা,O
Sentence: 143,মুই,O
,যে,O
,মানুষটারে,O
,ভালাপাইমু,O
,তারে,O
,যদি,O
,বুঝতাম,O
,না,O
,পারি,O
,তাইলে,O
,অউ,O
,পিরিতর,O
,কুনো,O
,অর্থ,O
,আছে,O
,খরি,O
,মনে,O
,অয়,O
,না,O
Sentence: 144,নিজে,O
,অসুখী,O
,অইয়া,O
,অইন্যরে,O
,ভালোবাসিয়া,O
,সুখী,O
,খরা,O
,যায়না,O
Sentence: 145,খেউ,O
,আফনার,O
,জীবনো,O
,সুখ,O
,আনিয়া,O
,দিবো,O
,ভাবিয়া,O
,কারো,O
,লগে,O
,পেরেমো,O
,জড়াইবা,O
,না,O
Sentence: 146,আফনে,O
,কারুর,O
,জীবনো,O
,সুখ,O
,আনিয়া,O
,দিবা,O
,ভাবিয়া,O
,পেরেম,O
,করইন,O
Sentence: 147,সত্তিকারর,O
,ভালোবাসা,O
,খালি,O
,ভালাপাওয়া,O
,মানুষটারে,O
,সুখী,O
,করতো,O
,চায়,O
,তার,O
,থাকি,O
,কুনো,O
,প্রতিদান,O
,আশা,O
,করে,O
,না,O
Sentence: 148,পিরিতর,O
,মানে,O
,খেউরে,O
,জিতি,O
,লাওয়া,O
,নায়,O
,বরঞ্চ,O
,নিজেউ,O
,কারো,O
,লাগি,O
,হারি,O
,যাওয়া,O
Sentence: 149,আফনে,O
,কুনোদিন,O
,অউ,O
,ফারতা,O
,না,O
,অইন্য,O
,কারোর,O
,ভালোবাসারে,O
,ছিনাইয়া,O
,নিতা,O
,বা,O
,জুর,O
,খরি,O
,অইন্যর,O
,ভালা,O
,লাগার,O
,মানুষ,O
,অইতা,O
Sentence: 150,চউকর,O
,সামনে,O
,যারারে,O
,দেখিয়ার,O
,তারারে,O
,আগামী,O
,কালকে,O
,সখালে,O
,আর,O
,দেখতাম,O
,পারমু,O
,কিনা,O
,এর,O
,কুনো,O
,নিশ্চয়তা,O
,নাই,O
Sentence: 151,ভালা,O
,লাগে,O
,তুমার,O
,অউ,O
,কাজলর,B-OBJ
,লাখান,O
,কালা,B-COL
,চউক,O
Sentence: 152,তুমার,O
,মনর,O
,কথা,O
,আইজ,O
,মোরে,O
,খুলিয়া,O
,কউ,O
Sentence: 153,মোর,O
,হাত,O
,খান,O
,ধরিয়া,O
,সামনে,O
,আওগাইয়া,O
,যাও,O
,আমরা,O
,আর,O
,পিছেদি,O
,ফিরিয়া,O
,দেখতাম,O
,নায়,O
Sentence: 154,গোলাপ,B-OBJ
,ফুল,I-OBJ
,দিমু,O
,আমি,O
,তুমার,O
,হাতো,O
Sentence: 155,অউ,O
,মন,O
,আজকে,O
,তুমারে,O
,দিলাম,O
Sentence: 156,তুমার,O
,অউ,O
,মন,O
,মুই,O
,নিলাম,O
Sentence: 157,হাজার,O
,মাতর,O
,মাঝে,O
,এখটা,O
,মাত,O
,লুকাইল,O
,থাকে,O
Sentence: 158,সব,O
,মাত,O
,মুক,O
,দি,O
,কওয়া,O
,যায়,O
,না,O
Sentence: 159,হাজার,O
,মাতর,O
,মাঝে,O
,হউ,O
,এখটা,O
,মাত,O
,বুঝিয়া,O
,নেওয়া,O
,লাগে,O
Sentence: 160,যতদিন,O
,বাছিয়া,O
,থাখমু,O
,তুমারে,O
,মনো,O
,রাখমু,O
Sentence: 161,যতউ,O
,কষ্ট,O
,অউক,O
,সব,O
,মানিয়া,O
,নিমু,O
,তবুও,O
,আজীবন,O
,তুমারেও,O
,ভালোবাসমু,O
Sentence: 162,দেখো,O
,ছাইন,O
,খতো,O
,সুন্দর,O
,মিষ্টি,O
,চান্দর,O
,আলো,O
Sentence: 163,ফুল,B-OBJ
,দিয়া,O
,সাজাইয়া,O
,রাখছি,O
,আমার,O
,অউ,O
,মন,O
,তুমি,O
,আইলে,O
,দুইজন,O
,মিলিয়া,O
,সাজাইমু,O
,জীবন,O
Sentence: 164,পড়াশোনা,O
,খরিয়া,O
,কিতা,O
,অইতো,O
,যদি,O
,তুমারে,O
,না,O
,পাওয়া,O
,যায়,O
Sentence: 165,ফুড়িন্তর,O
,পোস্ট,O
,অইলো,O
,মাছোর,B-LOC
,বাজার,I-LOC
,সব,O
,আইয়া,O
,ভিড়,O
,জমাইন,O
Sentence: 166,ফুয়াইন্তর,O
,পোস্ট,O
,অইলো,O
,সোনার,O
,দুকান,O
,এর,O
,লাগি,O
,খুব,O
,কম,O
,মাইনষে,O
,অনো,O
,আইন,O
Sentence: 167,ফত্তেকদিন,O
,ঘুমাই,O
,যাওয়ার,O
,আগে,O
,ভাবি,O
,যাই,O
,অউক,O
,বিয়া,O
,খরার,O
,আরোখটা,O
,দিন,O
,আওগাইছে,O
Sentence: 168,বিয়াত,O
,দামান,B-REL
,পক্ষ,I-REL
,দাবি,O
,করছিলা,O
,দুইটা,O
,সুনার,B-OBJ
,জিনিস,I-OBJ
,চাইন,O
,তারা,O
,কইন্যা,B-REL
,পক্ষ,I-REL
,তাতেউ,O
,রাজি,O
,অই,O
,গেলা,O
Sentence: 169,এখনকু,O
,পেরেম,O
,ছাড়া,O
,মানুষ,O
,খুজিয়া,O
,পাওয়া,O
,মুশকিল,O
Sentence: 170,মিষ্টি,O
,মিষ্টি,O
,হাসিয়া,O
,মাতিয়া,O
,পাগল,O
,খরি,O
,দিলায়,O
Sentence: 171,তুমারে,O
,লইয়া,O
,হারাই,O
,যাইতাম,O
,আখাশর,O
,নীলো,O
Sentence: 172,চলোনা,O
,কিচ্ছু,O
,না,O
,মানিয়া,O
,পিরিত,O
,খরি,O
Sentence: 173,চলো,O
,দুইজনে,O
,মিলিয়া,O
,সুখর,O
,পৃথিবী,B-LOC
,সাজাই,O
Sentence: 174,তুমারে,O
,লইয়া,O
,মোর,O
,হখল,O
,কল্পনা,O
Sentence: 175,তুমারে,O
,খইলজাত,O
,রাখমু,O
,হারা,O
,সময়,O
Sentence: 176,তুমি,O
,যদি,O
,চাও,O
,তে,O
,মেগ,O
,অইবো,O
,আইজ,O
Sentence: 177,চল,O
,দুইজনে,O
,হাতো,O
,ধরিয়া,O
,হারাই,O
,যাই,O
Sentence: 178,তুমারে,O
,ছুয়ার,O
,লাগি,O
,চাই,O
,অনুমতি,O
Sentence: 179,ওউ,O
,ছবির,O
,ফত্তেকটা,O
,গান,O
,বাক্কা,O
,ভালা,O
,লাগতো,O
,আর,O
,এখনো,O
,লাগে,O
Sentence: 180,হাছাহাছির,O
,ভালোবাসা,O
,হারে,O
,না,O
,মিছামিছিরটা,O
,হারি,O
,যায়,O
Sentence: 181,অউ,O
,অইলো,O
,সোনালী,O
,যুগর,O
,হউ,O
,পুরানা,O
,গানটা,O
,যে,O
,গান,O
,হুনলে,O
,বুক,O
,ভরি,O
,যায়,O
Sentence: 182,যতবার,O
,দেখি,O
,ততবার,O
,ভালা,O
,লাগে,O
,মৌসুমীরে,B-PER
,গান,O
,ইগুত,O
,সেই,O
,সুন্দর,O
,লাগছে,O
Sentence: 183,এখন,O
,পর্যন্ত,O
,ভালা,O
,লাগে,O
,গানটা,O
Sentence: 184,কালা,B-COL
,আর,O
,লাল,B-COL
,শাড়ীত,B-OBJ
,মৌসুমী,B-PER
,আফারে,O
,সেই,O
,সুন্দরী,O
,লাগে,O
Sentence: 185,আমার,O
,ভালোবাসার,O
,মানুষটার,O
,কথা,O
,মনো,O
,পড়ি,O
,যায়,O
Sentence: 186,গান,O
,গুতা,O
,হুনলেউ,O
,পুরানা,O
,ইতিহাস,O
,মনো,O
,পড়ি,O
,যায়,O
Sentence: 187,ওউ,O
,ছবির,O
,হখলটি,O
,গান,O
,খুব,O
,সুন্দর,O
Sentence: 188,হখল,O
,সময়,O
,অউ,O
,গান,O
,গুইন,O
,সুন্দর,O
,আর,O
,হুনতে,O
,ভালা,O
,লাগে,O
Sentence: 189,মৌসুমী,B-PER
,আফারে,O
,কইছি,O
,অলাখান,O
,এখটা,O
,ছবি,O
,আমরারে,O
,আবার,O
,উপহার,O
,দেইন,O
Sentence: 190,মৌসুুমী,B-PER
,হাছাউ,O
,অনেখ,O
,সুন্দরী,O
,আমি,O
,কান্দা,O
,থাকি,O
,দেখছি,O
Sentence: 191,এখদিন,O
,কিবা,O
,দুনিয়ার,B-LOC
,মায়া,O
,কাটাইয়া,O
,যাইমু,O
,গিয়া,O
