Sentence #,chittagong_word,bio_tag
,ফোয়া,O
,ন,O
,বুযে,O
Sentence: 114,তুঁই,O
,শুদু,O
,মনে,O
,রাইক্কো,O
,আঁরে,O
,সারা,O
,বেলা,O
Sentence: 115,চোকর,O
,ফানি,O
,মুচি,O
,দিয়্যুম,O
,তোঁয়ারে,O
,আসি,O
Sentence: 116,এতেল্লাই,O
,ত,O
,বন্দু,B-REL
,তোঁয়ারে,O
,এত,O
,বালবাসি,O
Sentence: 117,হত,O
,সুন্দর,O
,তুঁই,O
,ফ্রেম,O
,অত,O
,ফইরগি,O
,আঁই,O
Sentence: 118,ফোয়াওক্কল,O
,বালবাসার,O
,অবিনয়,O
,গইরতে,O
,গইরতে,O
,হত্তে,O
,যে,O
,আঁচা,O
,আঁচা,O
,বালবাসি,O
,ফেলাই,O
,ইতারা,O
,নিজেরাও,O
,হইত,O
,ন,O
,ফারে,O
Sentence: 119,মাইফোয়াওক্কল,O
,বালবাইসতে,O
,বাইস্তে,O
,হত্তে,O
,যে,O
,অবিনয়,O
,শুরু,O
,গরে,O
,ইতারা,O
,নিজেরাও,O
,হইত,O
,ন,O
,ফারে,O
Sentence: 120,এই,O
,ফিতিবিত,B-LOC
,ফ্রিয়,O
,মানুষওন,O
,চারা,O
,বাচি,O
,তাহা,O
,হস্টগর,O
,কিন্তু,O
,অসম্বব,O
,নয়,O
Sentence: 121,হনিকার,O
,লাই,O
,হনিকার,O
,জিবন,O
,তিয়াই,O
,ন,O
,তাকে,O
Sentence: 122,হনিকারে,O
,প্রচন্ডভাবে,O
,বালবাসার,O
,মাযে,O
,এক,O
,দরনঅর,O
,দুর্বলতা,O
,আচে,O
Sentence: 123,ফোয়া,O
,আর,O
,মাইফোয়া,O
,বন্দু,B-REL
,অইত,O
,ফারে,O
,কিন্তু,O
,ইতারা,O
,এক,O
,সময়,O
,অবশ্যই,O
,একজন,O
,আরেকজন,O
,অর,O
,ফ্রেমঅত,O
,ফরিবো,O
Sentence: 124,ফোয়াওক্কল,O
,অর,O
,লাই,O
,ফিতিবিত,B-LOC
,বেজ্ঞুনরতুন,O
,বেরা,O
,মুল্যবান,O
,অইলদি,O
,মাইফোয়াঅক্কলর,O
,আসি,O
Sentence: 125,তোঁয়ারে,O
,দুইচোক,O
,বরি,O
,দেহা,O
,আইযো,O
,বাকি,O
Sentence: 126,তোঁয়ারে,O
,হাঁচে,O
,আই,O
,বেরাই,O
,দরা,O
,আইযো,O
,বাকি,O
Sentence: 127,আঁর,O
,বউত,O
,টান্ডা,O
,লাগের,O
Sentence: 128,আঁর,O
,মন,O
,হারাফ,O
Sentence: 129,অনর,O
,কি,O
,মন,O
,হারাফ,O
,নে,O
Sentence: 130,তোঁয়ার,O
,কি,O
,মন,O
,হারাফ,O
,নে,O
Sentence: 131,আব্বু,B-REL
,আঁর,O
,লাই,O
,লাল,B-COL
,হঅর,B-OBJ
,কিনি,O
,আইন্নে,O
Sentence: 132,আঁর,O
,বন্দু,B-REL
,আঁরে,O
,এক্কান,O
,লাল,B-COL
,শারি,B-OBJ
,কিনি,O
,দিয়্যে,O
Sentence: 133,আঁর,O
,বন্দু,B-REL
,আঁরে,O
,ওজ্ঞা,O
,লাল,B-COL
,গোলাপ,B-OBJ
,কিনি,O
,দিয়্যে,O
Sentence: 134,আঁর,O
,আম্মু,B-REL
,আঁরে,O
,লই,O
,ফার্ক,B-LOC
,অত,O
,বেরাইতো,O
,যাইবো,O
Sentence: 135,বালবাসা,O
,যিয়ান,O
,যত,O
,গোফন,O
,অই,O
,বালাবাসা,O
,ইয়ান,O
,তত,O
,গবীর,O
Sentence: 136,বালবাসা,O
,ফাইবারতুন,O
,বরা,O
,বালবাসা,O
,দিয়ায়,O
,বেশি,O
,আনন্দ,O
Sentence: 137,তুঁই,O
,যদি,O
,হনিকারে,O
,বালবাসো,O
,তইলে,O
,ইতারে,O
,চারি,O
,দ,O
Sentence: 138,যদি,O
,ইতে,O
,তোঁয়ার,O
,হাচে,O
,ফিরি,O
,আয়্যিয়ে,O
,তইলে,O
,ইতে,O
,তোঁয়ারই,O
,আচিল,O
Sentence: 139,আর,O
,যদি,O
,ফিরি,O
,ন,O
,আইয়্যে,O
,তইলে,O
,ইতে,O
,হন,O
,অত্তে,O
,তোঁয়ার,O
,ন,O
,আচিল,O
Sentence: 140,যেত্তে,O
,হনো,O
,ফুরুষ,O
,হনো,O
,নারিরে,O
,বালবাসে,O
,এত্তে,O
,ইতে,O
,ইবার,O
,লাই,O
,বেজ্ঞিন,O
,গরিত,O
,ফারে,O
Sentence: 141,মুকে,O
,মুকে,O
,এগাযা,O
,বালবাসি,O
,বালবাসি,O
,হওয়ারতুন,O
,বেরা,O
,আঁর,O
,মনো,O
,অয়,O
,বালবাসার,O
,মানুষ্যারে,O
,বুজিত,O
,ফারা,O
,আন,O
,বউত,O
,বর,O
,বেফার,O
Sentence: 142,বালবাসা,O
,মানে,O
,একজন,O
,আরেকজন,O
,অরে,O
,বুজিত,O
,ফারা,O
Sentence: 143,আঁই,O
,যে,O
,মানুষ্যারে,O
,বালবাইসসম,O
,ইতারে,O
,যদি,O
,বুজিত,O
,ন,O
,ফারি,O
,তইলে,O
,এই,O
,ফ্রেমর,O
,হনো,O
,অর্ত,O
,আচে,O
,বলি,O
,মনে,O
,ন,O
,অয়,O
Sentence: 144,নিজে,O
,অসুকি,O
,অয়,O
,অন্যরে,O
,বালবাসি,O
,সুকি,O
,গরা,O
,ন,O
,যায়,O
Sentence: 145,হনিকাই,O
,অনর,O
,জিবন,O
,অত,O
,সুক,O
,আনি,O
,দিবো,O
,বাবি,O
,হনিকার,O
,লই,O
,ফ্রেমত,O
,ন,O
,জরাইবান,O
Sentence: 146,অনে,O
,হনিজার,O
,জিবন,O
,অত,O
,সুক,O
,আনি,O
,দিবান,O
,বাবি,O
,ফ্রেম,O
,গরন,O
Sentence: 147,সত্যিকারওর,O
,বালবাসা,O
,শুদু,O
,বালবাসার,O
,মানুষ্যারে,O
,সুকি,O
,গইরতো,O
,চায়,O
,তাত্তুন,O
,হনো,O
,ফ্রতিফান,O
,আশা,O
,ন,O
,গরে,O
Sentence: 148,বালবাসা,O
,মানি,O
,হনিকারে,O
,জয়,O
,গরা,O
,নয়,O
,বরং,O
,নিজেই,O
,হনিকার,O
,লাই,O
,আরি,O
,জন,O
Sentence: 149,অনে,O
,হনোঅত্তে,O
,ন,O
,ফারিবান,O
,অন্য,O
,হনিকার,O
,বালবাসারে,O
,চিনায়,O
,লইত,O
,কিনবা,O
,জোর,O
,গরি,O
,অন্যর,O
,বাল,O
,লাগার,O
,মানুষ,O
,অইত,O
Sentence: 150,চোকর,O
,চাম্মে,O
,যারারে,O
,দেহন,O
,তারারে,O
,আগামি,O
,হালিয়া,O
,দেহিবান,O
,কিনা,O
,তারও,O
,হনো,O
,নিচ্চয়তা,O
,নেই,O
Sentence: 151,গম,O
,লাগে,O
,তোঁয়ার,O
,অই,O
,হাজল,B-OBJ
,হালো,B-COL
,চোক,O
Sentence: 152,তোঁয়ার,O
,মনোর,O
,হতা,O
,আযিয়া,O
,আঁরে,O
,কুল,O
,হ,O
Sentence: 153,আঁর,O
,আত্তান,O
,দরি,O
,সাম্ম্র,O
,ফতঅত,O
,আগায়,O
,চলো,O
,ফিচন,O
,ফিরি,O
,আর,O
,আঁরা,O
,ন,O
,চাইয়্যুম,O
Sentence: 154,গোলাপ,B-OBJ
,ফুল,I-OBJ
,দিয়্যুম,O
,আঁই,O
,তোয়াঁর,O
,আতত,O
Sentence: 155,এই,O
,মন,O
,আজিয়া,O
,আঁই,O
,তোয়াঁরে,O
,দিলাম,O
Sentence: 156,তোঁয়ার,O
,অই,O
,মন,O
,আঁই,O
,লই,O
,লইলাম,O
Sentence: 157,আযার,O
,হতার,O
,মাযে,O
,এক্কান,O
,মন,O
,অর,O
,হতা,O
,লুকায়,O
,তাকে,O
Sentence: 158,বেজ্ঞিন,O
,হতা,O
,মুকে,O
,হওয়া,O
,ন,O
,যাই,O
Sentence: 159,আযার,O
,হতার,O
,মাযে,O
,অই,O
,এক্কান,O
,হতা,O
,বুযি,O
,ল,O
,ফরে,O
Sentence: 160,যতদিন,O
,বাচি,O
,তাইক্কম,O
,তোঁয়ারে,O
,মনত,O
,রাইক্কম,O
Sentence: 161,যত,O
,হস্ট,O
,ওক,O
,মানি,O
,লইয়্যুম,O
,তারফরও,O
,আযিবন,O
,তোঁয়ারেই,O
,বালবাইসসম,O
Sentence: 162,চ,O
,কি,O
,সুন্দর,O
,মিস্টি,O
,চাঁদর,O
,মিস্টি,O
,আলো,O
Sentence: 163,ফুলে,B-OBJ
,ফুলে,B-OBJ
,সাযাই,O
,রাইক্কি,O
,আঁর,O
,এ,O
,মন,O
,তুঁতুঁই,O
,আইলে,O
,দুইযন,O
,মিলি,O
,সাজাইয়্যুম,O
,এ,O
,জিবন,O
Sentence: 164,ফরাশোনা,O
,গরি,O
,কি,O
,অইব্যদি,O
,তোঁয়ারেই,O
,ফা,O
,ন,O
,যাই,O
Sentence: 165,মাইফোয়া,O
,অক্কলর,O
,ফোস্ট,O
,অইলদি,O
,মাচর,B-LOC
,বাযারর,I-LOC
,নান,O
,বেজ্ঞুন,O
,আই,O
,বির,O
,যমায়,O
Sentence: 166,ফোয়া,O
,অক্কলর,O
,ফোস্ট,O
,অইলদি,O
,সোমার,O
,দোয়ান,O
,ওর,O
,নান,O
,বর,O
,হম,O
,মানুষই,O
,আইয়্যে,O
Sentence: 167,ফত্তিন,O
,গুম,O
,যাইবর,O
,আগে,O
,চিন্তা,O
,গরি,O
,যাইওক,O
,বিয়া,O
,গরিবার,O
,আরেক্কান,O
,দিন,O
,আগাইয়্যে,O
Sentence: 168,বিয়াত,O
,মাযে,O
,ফোয়ার,B-REL
,ফক্কত্তুন,I-REL
,দাবি,O
,গইরগে,O
,দুইয়্যান,O
,সোনার,B-OBJ
,জিনিস,I-OBJ
,চাই,O
,মাইফোয়া,B-REL
,ফক্ক,I-REL
,ইয়ানতই,O
,রাজি,O
,অ,O
,গেয়্যুই,O
Sentence: 169,বর্তমান,O
,অত,O
,ফ্রেমহীন,O
,মানুষ,O
,তোয়াই,O
,ফঅন,O
,হস্টগর,O
Sentence: 170,মিডা,O
,আসি,O
,হতা,O
,হয়,O
,ফঅল,O
,গরি,O
,দিয়্যে,O
Sentence: 171,তোঁয়ারে,O
,লই,O
,আঁযি,O
,যায়্যুম,O
,আসসান,O
,অর,O
,নিল,O
,অত,O
Sentence: 172,আডো,O
,না,O
,কিচু,O
,ন,O
,মানি,O
,বালবাসি,O
Sentence: 173,আডো,O
,দুইযনে,O
,মিলি,O
,সুকর,O
,ফিতিবি,B-LOC
,সাযাই,O
Sentence: 174,তোঁয়ারে,O
,লই,O
,আঁর,O
,বেজ্ঞিন,O
,কল্ফনা,O
Sentence: 175,তোঁয়ারে,O
,রিদয়,O
,অত,O
,রাইক্কম,O
,সারাক্ষণ,O
Sentence: 176,তুঁই,O
,যদি,O
,চ,O
,যর,O
,ফরিবো,O
,আযিয়া,O
Sentence: 177,আডো,O
,দুইজনে,O
,আত,O
,দরি,O
,আঁযি,O
,যাই,O
Sentence: 178,তোঁয়ারে,O
,চুইবর,O
,লাই,O
,চাই,O
,অনুমতি,O
Sentence: 179,এই,O
,চবির,O
,বেজ্ঞিন,O
,গান,O
,আঁর,O
,ফ্রিয়,O
,আচিল,O
,এবং,O
,আইযো,O
,আচে,O
Sentence: 180,আচা,O
,বালবাসা,O
,ন,O
,আরে,O
,মিচা,O
,বালবাসা,O
,আরি,O
,যা,O
,গই,O
Sentence: 181,এই,O
,সেই,O
,সোনালি,O
,যুগ,O
,অর,O
,সেই,O
,ফ্রাচিন,O
,গান,O
,যে,O
,গান,O
,ফুইনলে,O
,বুক্কান,O
,বরি,O
,যা,O
,গই,O
Sentence: 182,যতবার,O
,দেহি,O
,ততবার,O
,গম,O
,লাগে,O
,মৌসুমিরে,B-PER
,গান্নানঅত,O
,অসম্বব,O
,সুন্দর,O
,লাগের,O
Sentence: 183,আইযো,O
,গম,O
,লাগে,O
,গানইবা,O
Sentence: 184,হালা,B-COL
,আর,O
,লাল,B-COL
,শারিত,B-OBJ
,মৌসুমি,B-PER
,আফারে,O
,অসম্বব,O
,সুন্দরি,O
,লাগে,O
Sentence: 185,মনঅত,O
,ফরি,O
,যা,O
,গই,O
,আঁর,O
,বালবাসার,O
,মানুষসার,O
,হতা,O
Sentence: 186,গানইবা,O
,ফুনিলেই,O
